""
Morgan Freeman
Bob Gunton
Marlon Brando
Al Pacino
James Caan
Robert De Niro
Robert Duvall
Christian Bale
Heath Ledger
Aaron Eckhart
John Travolta
Uma Thurman
Samuel L. Jackson
Henry Fonda
Lee J. Cobb
Martin Balsam
Clint Eastwood
Eli Wallach
Lee Van Cleef
Elijah Wood
Viggo Mortensen
Ian McKellen
Liam Neeson
Ralph Fiennes
Ben Kingsley
Brad Pitt
Edward Norton
Helena Bonham Carter
Orlando Bloom
Leonardo DiCaprio
Joseph Gordon-Levitt
Ellen Page
Mark Hamill
Harrison Ford
Carrie Fisher
Tom Hanks
Robin Wright
Gary Sinise
Matthew McConaughey
Anne Hathaway
Jessica Chastain
Jack Nicholson
Louise Fletcher
Michael Berryman
Toshir\xf4 Mifune
Takashi Shimura
Keiko Tsushima
Ray Liotta
Joe Pesci
Keanu Reeves
Laurence Fishburne
Carrie-Anne Moss
Alexandre Rodrigues
Matheus Nachtergaele
Leandro Firmino
James Stewart
Donna Reed
Lionel Barrymore
Kevin Spacey
Gabriel Byrne
Chazz Palminteri
Roberto Benigni
Nicoletta Braschi
Giorgio Cantarini
Charles Bronson
Claudia Cardinale
Jodie Foster
Anthony Hopkins
Lawrence A. Bonney
Jean Reno
Gary Oldman
Natalie Portman
Charles Chaplin
Virginia Cherrill
Florence Lee
Daveigh Chase
Suzanne Pleshette
Miyu Irino
Fran\xe7ois Cluzet
Omar Sy
Anne Le Ny
Humphrey Bogart
Ingrid Bergman
Paul Henreid
Miles Teller
J.K. Simmons
Melissa Benoist
Edward Furlong
Beverly DAngelo
Paulette Goddard
Henry Bergman
Matt Damon
Tom Sizemore
Karen Allen
Paul Freeman
Grace Kelly
Wendell Corey
Anthony Perkins
Janet Leigh
Vera Miles
Michael Clarke Duncan
David Morse
William Holden
Gloria Swanson
Erich von Stroheim
Adrien Brody
Thomas Kretschmann
Frank Finlay
Tom Hardy
Russell Crowe
Joaquin Phoenix
Connie Nielsen
Arnold Schwarzenegger
Linda Hamilton
Guy Pearce
Joe Pantoliano
Darsheel Safary
Aamir Khan
Tanay Chheda
Peter Sellers
George C. Scott
Sterling Hayden
Philippe Noiret
Enzo Cannavale
Antonella Attili
Martin Sheen
Jack Oakie
Hugh Jackman
Scarlett Johansson
Michael J. Fox
Christopher Lloyd
Lea Thompson
Matthew Broderick
Jeremy Irons
James Earl Jones
Ulrich M\xfche
Martina Gedeck
Sebastian Koch
Sigourney Weaver
Tom Skerritt
John Hurt
Kirk Douglas
Ralph Meeker
Adolphe Menjo
Jamie Foxx
Christoph Waltz
Madhavan
Mona Singh
Tsutomu Tatsumi
Ayano Shiraishi
Akemi Yamaguchi
Shelley Duvall
Danny Lloyd
Peter Lorre
Ellen Widmann
Inge Landgut
Ben Burtt
Elissa Knight
Jeff Garlin
Tyrone Power
Marlene Dietrich
Charles Laughton
Sunil Dutt
Sanjay Dutt
Arshad Warsi
Annette Bening
Thora Birch
J\xfcrgen Prochnow
Herbert Gr\xf6nemeyer
Klaus Wennemann
Y\xf4ji Matsuda
Yuriko Ishida
Y\xfbko Tanaka
Audrey Tauto
Mathieu Kassovitz
Rufus
Cary Grant
Eva Marie Saint
James Mason
Soha Ali Khan
Siddharth
Peyman Moaadi
Leila Hatami
Sareh Bayat
Orson Welles
Joseph Cotten
Dorothy Comingore
Michael Biehn
Carrie Henn
Kim Novak
Barbara Bel Geddes
Min-sik Choi
Ji-tae Y
Hye-jeong Kang
James Woods
Elizabeth McGovern
Fred MacMurray
Barbara Stanwyck
Edward G. Robinson
Tim Allen
Joan Cusack
Mel Gibson
Sophie Marcea
Patrick McGoohan
Gregory Peck
